name,prompt,negative_prompt
None,,
基础起手式,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
画质01,"masterpiece,best quality,highly detailed,Amazing,finely detail,extremely detailed CG unity 8k wallpaper,score:>=60,","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,((nsfw)),nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, 
blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked"
摄影画质01,"1girl,solo,,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper， <lora:大概是个汉服_汉元素:0.63>","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
汉服照01,"1girl,solo,hanfu ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，, hanfu,  upper shan ， purple with white ，in the dark evening,small moon in the sky of farther distance, <lora:汉服唐风_v3.5:0.65>,looking the viewer","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
"1boy,handsome蓝调","1boy,handsome,solo,hanfu ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，, hanfu,  upper shan ， purple with white ，in the dark evening,small moon in the sky of farther distance, <lora:汉服唐风_v3.5:0.65>,looking the viewer","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
真人画质01,"1girl,solo ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，in the dark evening,small moon in the sky of farther distance,there is a fog over the river nearby, <lora:汉服唐风_v3.5:0.65>,looking at the viewer,Close-up , full body1:2 ,red lips <lora:more_details(细节调整):0.55> <lyco:locon_perfecteyes_v1_from_v1_64_32:0..5>","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs， badhandv4， EasyNegative， Fixhand"
标准画质，广泛用于二次元（也可它用）,"(masterpiece:1,2), best quality, masterpiece, highres, original, extremely detailed wallpaper, perfect lighting,(extremely detailed CG:1.2), drawing, paintbrush","NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs)))"
汉服01,",(photorealistic:1),masterpiece,best quality,highly detailed,Amazing,finely detail,extremely detailed CG unity 8k wallpaper,1 girl,(upper body:1.2),close-up,hanfu,looks at the viewers","lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,((nsfw)),nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,long neck,Humpbacked,"
民国风01,",masterpiece,(best quality:1.3),ultra high res,raw photo,detailed skin,beautiful lighting,(realistic, photo-realistic:1.4),1 girl, she is tall and slender,beautiful curve,graceful posture,[she has long, shiny black hair],usually combed into a simple and elegant hairstyle,embellished with a small and delicate flower,clear lines of facial features,white and delicate skin,she has 1 big, bright eyes,the flow of eyes reveals intelligence and gentleness,slender eyebrows slightly raised,her lips are ruddy and plump,slightly upturned,with a charming smile,she wears a white short-sleeved mountain,wearing a light blue skirt,she had a thread-binding book in her hand,the cover of the book is blue,  student_woman, <lora:OldSchoolV1.1:0.8>","bad-hands-5, EasyNegative,, watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs，Fixhand"
标致女孩01,",masterpiece,(best quality:1.3),ultra high res,raw photo,detailed skin,beautiful lighting,(realistic, photo-realistic:1.4),1 girl, she is tall and slender,beautiful curve,graceful posture,she has long, shiny black hair],usually combed into a simple and elegant hairstyle,embellished with a small and delicate flower,clear lines of facial features,white and delicate skin, <lora:古装女孩_GZFace_V1.0:1>, 1Girl, <lora:古装汉服_1.0:0.4>","bad-hands-5, EasyNegative,, watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs，Fixhand"
女侠01,"masterpiece,(best quality:1.3),ultra high res,raw photo,detailed skin,beautiful lighting,(realistic, photo-realistic:1.4),1 girl, holding a sword, fighting , <lora:_剑舞女侠古风_c1.3:0.82>,standing in the ancient battle field,behind her are several Chinese ancient warriors","NSFW,nude, (badhandv4:1.2), (easynegative),(NSFW:1.5),(expose:1.2),verybadimagenegative_v1.3, deformation), blurry, poorly dissected, disfigured, poorly drawn face, mutation, mutation, (extra_limb), (ugly), (poorly drawn hand), finger fusion, messy drawing, broken leg examination, examination, examination stick, multiple breasts, (mutated hand and finger: 1.5), (long body: 1.3), (mutated, poorly drawn: 1.2), black and white, poorly dissected, liquid body, disfigured Deformed, mutated, anatomical nonsense, text font ui, errors, malformed hands, long necks, blurry, lowered, anatomically poor, proportion not good, shadows not good, body not coordinated, body not natural, fused breasts, poor breasts, huge breasts, poorly drawn breasts, excess breasts, liquid breasts, heavy breasts, missing breasts, large buttocks, huge thighs, Huge calves, bad hands, fused hands, missing hands, missing arms, missing thighs, missing calves, missing legs, fused arms, bad ears, poorly drawn ears, excess ears, liquid ears, heavy ears, missing ears, text, ui, errors, missing fingers, missing limbs, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers, The other hand has more than 5 digits, the other hand is missing less than 5 digits, excess digits, fewer digits, fused digits, missing digits, bad digits, liquid digits, cropped, blurry, JPEG artifacts, signatures, deformed feet, excess feet, bad feet, bad drawings, fused feet, lost feet, excess shoes, bad shoes, fused shoes, two or more pairs of shoes, poorly drawn shoes Bad gloves, poorly drawn gloves, fused gloves, bad hair, poorly drawn hair, fused hair, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes well drawn eyes, excess eyes, deformed limbs, two or more nipples, rough ratio. Short arm, (((missing arm)), thigh missing, calf missing, leg missing, mutation, duplication, deformity, poorly drawn hand, more than one left hand, less than one right hand, deformation, (blurring), disfigurement,"
二次元，插画，起手," (masterpiece:1.2), best quality, masterpiece, highres, original, extremely detailed wallpaper, perfect lighting,(extremely detailed CG:1.2), drawing, paintbrush,","(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, "
汉服模板,", <lora:beautifuleyeslikeness_halfBody:0.1>, <lora:hanfu_v28:0.5>,mingstyle.hanfu, <lora:Moxin_Shukezouma11:0.3>,shukezouma, <lora:gachaSplashLORA_v40:0.3>,(Upper body:1.2),","(EasyNegative:1.4), (ng_deepnegative_v1_75t), (worst quality:1.4), (low quality:1.4) , (monochrome:1.1), lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, normal quality, jpeg artifacts, (signature, watermark, username:1.4), blurry, bad feet, multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, malformed hands, long neck, blurred, lowers, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, fused hand, missing hand, (holding), muscles, abs"
盲盒关键词,"(masterpiece:1.2), best quality, masterpiece, highres, original, extremely detailed wallpaper, perfect lighting,(extremely detailed CG:1.2), drawing, paintbrush,1girl,full body, chibi, <lora:blindbox_V1Mix:1>, <lora:yetAnotherNahidaGenshin_nahidav3:0.2> ,1girl,","EasyNegative,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),"
高达女风格,"(8k, Best Quality, Masterpiece: 1.2), (Realistic, Photorealistic: 2.16), Super detailed, 1girl, dark blue eyes, Short blonde hair, cute, solo, beautiful face, dark eyes, looking at viewer, in the middle of the battlefield, shiny, night, from below, mecha, <lora:fashionGirl_v54:0.3>, <lora:shojovibe_v11:0.2>, <lora:eyeLora_eyesV10:0.3>,((Head-up angle)), <lora:gundamRX782OutfitStyle_v10:0.6>, gundam\(rx78\), reika\(gantz\), reika\(shortsuit\),","blood on face, injury on face, long neck, bright, (monochrome:1.3), (oversaturated:1.3), bad hands, lowers, 3d render, cartoon, long body, ((blurry)), duplicate, ((duplicate body parts)), (disfigured), (poorly drawn), (extra limbs), fused fingers, extra fingers, (twisted), contorted, conjoined, ((missing limbs)), logo, signature, text, words, low res, boring, mutated, artifacts, bad art, gross, ugly, poor quality, low quality, nsfw, (EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digi"
猫咪起手,"(masterpiece), (best quality), (official art, extremely detailed CG unity 8k wallpaper), (highly detailed),((cat)),extremely detailed eyes,","sketch, duplicate, ugly, huge eyes, text, logo, worst face, (bad and mutated hands:1.3), (worst quality:2.0), (low quality:2.0), (blurry:2.0), horror, geometry, bad_prompt, (bad hands), (missing fingers), multiple limbs, bad anatomy, (interlocked fingers:1.2), Ugly Fingers, (extra digit and hands and fingers and legs and arms:1.4), ((2girl)), (deformed fingers:1.2), (long fingers:1.2),(bad-artist-anime), bad-artist, bad hand, extra legs, nipples,nsfw,3D,(((1girl)))"
真人模型起手,"best quality, masterpiece, (photorealistic:1),ultra high res,highres,, illustration. media, delicate,8k wallpaper,soft light,official art, (realistic:1.2),1girl,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
"东京街景,JK,摆拍,真人","(8k, RAW photo, best quality, masterpiece:1.3),(realistic,photo-realistic:1.37),(looking at viewer:1.331),posing,Tokyo street,1girl, ","EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot,extra fingers,fewer fingers,lowres, bad anatomy,text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality , jpeg artifacts,signature,watermark, username, blurry,(((Redundant limbs))),((nipples)),((nsfw)),bare,((cleavage)),hands finger 5 finger hands kkkk,(((Redundant fingers))),(((freckle))),(((nevus))),(((nasolabial folds))),(((Decree pattern)))"
真人脸预设,"(RAW photo, best quality), (realistic, photo-realistic:1.3), masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity , 2k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity 8k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, (((medium hair:1.3), short bang, pink hair, floating hair novafrogstyle)), beautiful detailed girl, detailed fingers, extremely detailed eyes and face, beautiful detailed nose,  beautiful detailed eyes, long eyelashes, light on face, looking at viewer, (closed mouth:1.2), 1girl, cute, young, mature face, (full body:1.3), ((small breasts)), realistic face, realistic body, beautiful detailed thigh, (ulzzang-6500-v1.1:0.8),","nsfw, (EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digi"
真人模特的起手,"best quality, masterpiece, (realistic, photo-realistic:1.37),ultra high res,highres,, illustration. media, delicate,8k wallpaper,soft light,official art,professional lighting, photon mapping, radiosity, physically-based rendering,1girl,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes), EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
模特穿衣 起手式,"full body, standing, detailed skin texture, detailed cloth texture, beautiful detailed face, detailed background,beautiful detailed face, masterpiece, best quality, ultra detailed, 8k,light smile, intricate details, White skin,film grain, looking at viewer, 1girl,(nude:1.2),(Long black hair:1.3), hairpin, (White background:1.1),white stockings,  <lora:GirlfriendMix_v1_v20:0.5>,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
真人负面关键词 ,,"(((blur))),(EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs"
真人转动漫（偏向2.5D）起手,"masterpiece, best quality, animegao, illustration, <lora:fashionGirl_v54:0.3>,","(EasyNegative:1.2),NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, normal quality, jpeg artifacts, (signature, watermark, username:1.4), "
动漫转真人起手预设,"(masterpiece, best quality,high quality,White skin,Beautiful detailed face), <lora:hipoly3DModelLora_v10:0.45>,(realistic:1.2),","(((blur))),(EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs"
动漫杂志封面起手 ,"(magazine cover:1.4),1girl,solo,extremely detailed CG unity 8k wallpaper,illustration,lens 135mm,masterpiece, best quality,young girl,naughty face,(white background:1.5),","(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),"
不包含人的负面关键词,,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal qualit, jpeg artifacts, signature, watermark, usemame, blury,"
二次元画质更好起手式,"masterpiece,bestquality,highlydetailed,ultra-detailed,extremely detailed CG unity 8k wallpaper, illustration, lens 135mm,1girl,","(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,"
半身换装模特预设,"raw photo,(best quality:1.1),(photorealistic:1.1),simple background,(grey background:1.2),1girl,solo,thin female,(half body:1.2),medium shot,high detail face,smile,white light,create a polished look,completely nude,","nsfw,paintings, sketches, (worst quality:2), (low quality:2), (normal quality:1.5), lowres, normal quality, ((monochrome)), ((grayscale)),((door))"
桃花美女,"huge filesize,wallpaper,incredibly absurdres,absurdres,highres,masterpiece,best quality,1 girl,very beautiful,wears hanfu white with purple,standing under the peach trees,which have blossomed.she holds a basket with some white flowers in it,looking at the viewers.Under the peach trees is the green grass,round face,fair_skin,<lora:SDXL训练测试-双眼皮调节器 _v1.0:0.6>,medium breasts,","lowres,bad anatomy,((((bad hands)))),text,error,(((missing fingers:1.2))),extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,checkered,monochrome,very low quality,(((abnormal fingers:1.2))),"
反向提示词002,,"fog,nsfw,(badhandv4:1.2),(Style-Japan:1.2),(easynegative),deformation),Paintings,sketches,(worst quality, low quality, normal quality:1.7),lowres,blurry,text,logo,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,strabismus,wrong finger,lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,wort quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,(worst quality, low quality:1.4),(long neck:2),(sagging breasts:1.2),"
反向提示词  001,,"(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, "
手部反向提示词,,"(malformed hands, poorly drawn hands, mutated fingers:1.4),"
ainma负向词,,"worst quality,low quality,score_1,score_2,score_3,blurry,jpeg artifacts,sepia,low quality,worst quality,blurry,bad anatomy,extra limbs,deformed,watermark,text,signature,bareness,artifacts,hands,copyrights name,jpeg_artifacts,scan_artifacts,bad hands,missing fingers,extra digit,fewer digits,artistic error,ye-pop,deviantart,logo,patreon logo,"
